gender,cgpa,stream,work_experience,internship_experience,technical_proficiency,communication_skills,leadership_role,num_projects,competitions_won,final_package
Female,5.68,Business Analytics,3.9,12.4,2.7,1.8,Organizer,2,0,3 - 6 LPA
Prefer not to say,6.17,Marketing,28.7,4.8,3.6,3.3,Organizer,3,1,7 - 10 LPA
Prefer not to say,5.65,HR,4.8,2.2,1.9,5.0,Member,3,1,3 - 6 LPA
Female,4.9,Business Analytics,1.4,5.0,1.9,2.0,None,3,0,3 - 6 LPA
Female,9.79,Operations,0.1,12.7,2.3,1.0,Coordinator,2,2,7 - 10 LPA
Prefer not to say,4.07,Marketing,9.2,0.8,1.9,3.6,Member,1,1,3 - 6 LPA
Female,4.14,International Business,0.8,18.5,3.4,2.2,Member,0,0,3 - 6 LPA
Female,7.05,Marketing,9.4,18.2,2.0,5.0,Member,3,0,3 - 6 LPA
Female,4.28,Finance,43.6,2.3,2.0,2.9,None,1,1,7 - 10 LPA
Male,9.32,Business Analytics,19.6,1.1,1.2,3.6,Joint Coordinator,2,1,7 - 10 LPA
Female,6.3,HR,30.8,2.7,2.7,2.7,Member,2,0,7 - 10 LPA
Male,7.59,Operations,24.1,0.9,3.5,4.5,None,3,0,7 - 10 LPA
Female,8.37,International Business,8.2,23.9,3.6,2.8,Member,3,2,7 - 10 LPA
Male,6.8,Marketing,3.9,1.3,4.5,2.6,Member,2,1,3 - 6 LPA
Female,8.91,Marketing,68.9,3.1,4.2,4.6,Coordinator,3,0,16 - 20 LPA
Male,7.27,Business Analytics,2.4,3.6,2.8,4.0,Organizer,2,1,3 - 6 LPA
Female,6.39,Finance,1.9,3.2,1.3,2.3,None,4,0,3 - 6 LPA
Male,9.65,International Business,11.3,10.7,2.2,2.7,Organizer,1,1,7 - 10 LPA
Female,7.76,Marketing,58.3,3.7,3.0,4.3,Member,4,1,16 - 20 LPA
Female,6.66,Marketing,9.9,10.7,2.8,3.9,Organizer,0,1,3 - 6 LPA
Prefer not to say,7.73,Finance,0.4,3.1,1.3,2.3,Coordinator,3,1,3 - 6 LPA
Prefer not to say,8.03,HR,0.5,0.9,2.0,3.7,Member,1,0,3 - 6 LPA
Male,9.99,Business Analytics,8.5,7.3,3.4,1.8,Member,3,1,7 - 10 LPA
Prefer not to say,7.46,Marketing,2.7,3.1,1.9,1.3,Coordinator,3,1,3 - 6 LPA
Female,7.28,Marketing,11.9,0.3,1.5,2.3,Coordinator,4,3,11 - 15 LPA
Male,6.04,Operations,6.1,0.3,4.1,3.3,Member,3,0,3 - 6 LPA
Male,8.26,Marketing,28.9,6.9,3.1,2.3,Member,1,2,11 - 15 LPA
Male,9.83,Business Analytics,1.3,13.9,2.7,2.0,Member,6,2,11 - 15 LPA
Female,6.54,Marketing,10.7,17.4,3.6,3.1,Joint Coordinator,1,2,3 - 6 LPA
Male,7.39,International Business,29.6,10.3,1.5,2.5,None,3,0,7 - 10 LPA
Male,6.97,HR,1.6,8.4,2.6,1.3,Organizer,0,0,3 - 6 LPA
Female,8.69,Finance,2.5,6.3,3.2,3.6,Organizer,1,0,3 - 6 LPA
Male,9.37,International Business,18.8,6.1,2.1,4.8,None,0,2,7 - 10 LPA
Male,9.4,Marketing,6.1,2.1,3.3,3.3,Member,1,0,3 - 6 LPA
Male,7.94,Operations,7.3,10.9,4.3,2.5,Member,1,0,3 - 6 LPA
Female,6.31,HR,35.1,1.6,2.8,2.9,Member,1,1,7 - 10 LPA
Prefer not to say,4.39,International Business,0.8,0.7,1.0,2.8,Joint Coordinator,5,1,3 - 6 LPA
Female,7.74,Operations,9.9,3.1,4.7,2.5,Member,1,0,3 - 6 LPA
Male,6.42,Marketing,0.3,10.1,4.1,1.2,None,0,0,3 - 6 LPA
Male,9.34,Marketing,14.1,18.0,3.8,2.6,Member,5,2,11 - 15 LPA
Female,6.02,HR,2.3,1.6,2.3,2.0,None,2,0,3 - 6 LPA
Female,5.42,Finance,10.5,1.9,2.9,3.7,Joint Coordinator,0,1,3 - 6 LPA
Prefer not to say,7.92,Marketing,4.9,5.1,2.2,1.8,Joint Coordinator,3,0,3 - 6 LPA
Prefer not to say,6.97,Operations,1.7,2.5,3.4,2.0,Member,5,1,7 - 10 LPA
Female,5.24,International Business,7.7,0.5,1.9,3.8,Coordinator,1,2,3 - 6 LPA
Prefer not to say,7.42,HR,7.9,1.3,2.4,3.4,Joint Coordinator,0,1,3 - 6 LPA
Prefer not to say,5.84,Operations,9.7,3.6,3.9,4.5,Joint Coordinator,2,0,3 - 6 LPA
Female,6.63,HR,5.5,25.2,2.6,3.4,Member,0,0,3 - 6 LPA
Male,5.46,Business Analytics,1.8,4.6,3.4,3.7,Organizer,1,2,3 - 6 LPA
Male,9.46,Business Analytics,10.7,7.1,3.2,2.0,Member,1,1,7 - 10 LPA
Male,4.31,Operations,0.2,0.1,2.2,2.3,None,2,2,3 - 6 LPA
Male,5.78,HR,12.4,7.5,3.9,4.2,None,4,1,3 - 6 LPA
Male,9.95,Business Analytics,3.0,3.8,2.7,3.4,None,1,1,7 - 10 LPA
Prefer not to say,6.18,Business Analytics,7.0,29.9,2.6,2.6,Organizer,1,1,3 - 6 LPA
Prefer not to say,8.54,Finance,5.6,15.3,2.2,4.9,Member,3,1,7 - 10 LPA
Male,4.25,Marketing,9.1,9.7,3.0,3.0,Member,1,2,3 - 6 LPA
Male,5.04,HR,0.2,5.4,3.3,3.7,Joint Coordinator,1,2,3 - 6 LPA
Male,9.84,Business Analytics,5.1,13.2,3.3,3.5,Member,1,1,7 - 10 LPA
Prefer not to say,8.75,International Business,21.3,14.5,3.0,2.8,Member,3,4,11 - 15 LPA
Female,7.81,Business Analytics,29.1,4.0,2.4,2.5,Member,0,1,7 - 10 LPA
Male,5.46,International Business,5.3,4.9,4.6,2.0,Member,0,0,3 - 6 LPA
Prefer not to say,7.0,Finance,6.2,2.1,2.3,3.4,Joint Coordinator,0,2,3 - 6 LPA
Female,8.21,Marketing,21.2,9.1,1.0,2.2,Member,0,2,7 - 10 LPA
Male,9.52,Finance,37.0,27.2,3.6,2.5,Member,2,1,11 - 15 LPA
Female,9.23,Operations,0.1,0.1,1.4,2.8,Member,2,0,3 - 6 LPA
Prefer not to say,6.33,International Business,3.1,9.4,2.2,2.8,Member,1,0,3 - 6 LPA
Female,5.44,International Business,29.4,15.5,2.5,4.0,Organizer,2,1,7 - 10 LPA
Male,4.3,Marketing,17.8,10.7,3.5,3.9,Joint Coordinator,5,0,3 - 6 LPA
Female,7.29,Marketing,9.1,12.6,2.7,2.6,Organizer,1,0,3 - 6 LPA
Prefer not to say,6.32,Marketing,14.6,1.0,2.8,4.1,Organizer,2,0,3 - 6 LPA
Prefer not to say,4.02,International Business,11.4,0.7,4.4,1.3,Member,1,2,3 - 6 LPA
Male,4.93,Marketing,48.3,0.2,2.6,3.7,Member,3,0,7 - 10 LPA
Prefer not to say,8.64,Marketing,11.3,15.8,4.0,2.8,Joint Coordinator,4,1,7 - 10 LPA
Female,7.75,Operations,1.1,10.9,4.4,1.1,Member,3,2,7 - 10 LPA
Prefer not to say,5.86,HR,10.5,2.5,3.3,4.6,Joint Coordinator,2,2,3 - 6 LPA
Male,7.74,International Business,6.6,11.2,4.7,2.6,Member,0,2,7 - 10 LPA
Female,4.96,International Business,4.9,2.4,4.2,3.7,None,4,3,7 - 10 LPA
Male,7.88,HR,40.0,3.4,2.6,3.8,None,2,2,11 - 15 LPA
Female,5.14,Operations,11.9,0.1,3.5,4.5,Coordinator,1,0,3 - 6 LPA
Prefer not to say,4.45,Operations,5.1,5.9,5.0,4.2,Member,2,0,3 - 6 LPA
Female,9.09,Business Analytics,14.4,1.2,3.2,2.8,Member,3,2,11 - 15 LPA
Male,9.09,Business Analytics,21.3,2.1,1.7,2.7,None,0,1,7 - 10 LPA
Male,8.92,HR,81.4,0.5,4.4,2.9,Joint Coordinator,3,2,21 LPA or more
Male,9.54,Operations,4.7,27.1,2.6,5.0,Member,2,0,7 - 10 LPA
Male,4.68,Finance,6.4,8.6,2.1,3.2,Member,4,1,3 - 6 LPA
Male,4.17,Marketing,0.2,0.8,2.6,1.4,None,1,2,3 - 6 LPA
Male,4.08,Finance,1.2,3.0,2.6,2.0,Coordinator,2,0,3 - 6 LPA
Female,7.68,Business Analytics,29.6,8.4,1.0,3.8,None,2,3,11 - 15 LPA
Male,7.63,Marketing,9.9,0.7,3.6,2.7,Member,2,2,7 - 10 LPA
Prefer not to say,7.06,International Business,8.5,5.4,1.3,3.8,Member,2,0,3 - 6 LPA
Male,8.08,HR,5.7,9.4,3.4,2.5,Joint Coordinator,0,0,3 - 6 LPA
Prefer not to say,9.39,HR,13.1,2.6,3.6,1.7,Joint Coordinator,5,1,11 - 15 LPA
Male,5.97,Operations,1.2,0.5,2.9,1.6,Organizer,2,0,3 - 6 LPA
Prefer not to say,7.3,International Business,4.7,5.7,2.9,1.5,None,5,0,3 - 6 LPA
Male,9.13,Finance,39.3,0.6,2.8,2.8,None,6,0,11 - 15 LPA
Male,7.37,Business Analytics,11.4,10.4,2.9,3.3,Coordinator,1,1,3 - 6 LPA
Female,4.24,HR,6.8,5.7,2.0,4.2,Member,3,1,3 - 6 LPA
Female,9.94,HR,3.6,3.2,4.0,2.2,Coordinator,2,0,7 - 10 LPA
Female,6.56,Marketing,7.9,26.7,1.3,2.8,Organizer,3,1,3 - 6 LPA
Female,7.54,Operations,6.3,5.9,2.8,3.4,Member,2,2,7 - 10 LPA
Prefer not to say,6.11,Operations,5.7,6.9,2.6,1.6,Joint Coordinator,1,3,7 - 10 LPA
Female,7.52,Operations,3.4,9.4,2.7,3.2,None,2,3,7 - 10 LPA
Male,4.63,International Business,3.1,4.2,2.5,3.4,None,2,1,3 - 6 LPA
Male,8.87,Finance,2.5,9.4,3.9,3.4,Coordinator,1,1,7 - 10 LPA
Female,8.87,Marketing,22.3,0.9,4.5,2.8,Joint Coordinator,2,1,7 - 10 LPA
Female,8.98,International Business,6.6,2.0,1.4,1.7,None,3,2,7 - 10 LPA
Male,5.88,HR,12.8,4.2,1.0,2.3,Coordinator,2,1,3 - 6 LPA
Prefer not to say,8.1,Business Analytics,42.4,6.5,3.1,3.1,None,2,1,11 - 15 LPA
Prefer not to say,8.46,HR,11.3,3.2,2.7,3.4,Coordinator,2,0,7 - 10 LPA
Prefer not to say,7.44,Finance,22.8,2.7,2.9,3.4,Organizer,1,2,7 - 10 LPA
Male,7.56,Finance,4.7,6.2,3.2,4.0,Member,2,0,3 - 6 LPA
Male,5.09,Marketing,4.2,10.7,3.8,3.2,None,1,0,3 - 6 LPA
Prefer not to say,7.05,Business Analytics,95.7,7.1,3.7,2.6,Member,1,1,16 - 20 LPA
Female,4.9,Business Analytics,3.8,3.8,1.3,2.4,None,1,2,3 - 6 LPA
Male,5.47,Operations,3.7,0.9,5.0,4.1,Coordinator,3,1,3 - 6 LPA
Male,5.28,International Business,7.0,1.9,2.6,3.5,None,0,1,3 - 6 LPA
Male,6.36,Operations,1.0,1.5,3.6,3.6,Member,1,0,3 - 6 LPA
Female,4.45,International Business,72.8,6.4,4.6,3.2,None,2,0,7 - 10 LPA
Male,7.93,HR,7.1,24.3,3.3,3.1,Joint Coordinator,2,1,7 - 10 LPA
Female,7.1,Business Analytics,23.6,3.4,3.3,3.0,Member,2,2,7 - 10 LPA
Prefer not to say,4.1,HR,13.4,0.1,2.5,2.5,Organizer,1,0,3 - 6 LPA
Female,4.9,Finance,13.0,6.5,2.0,3.9,Coordinator,0,0,3 - 6 LPA
Male,6.56,Finance,43.7,1.5,2.6,2.7,Member,4,0,7 - 10 LPA
Prefer not to say,5.74,Marketing,16.3,5.7,5.0,3.3,Joint Coordinator,4,2,7 - 10 LPA
Male,8.67,Business Analytics,19.4,0.4,2.0,3.2,Organizer,2,0,7 - 10 LPA
Female,7.57,Marketing,6.3,0.2,1.0,3.8,Member,0,4,7 - 10 LPA
Male,5.58,Business Analytics,3.5,8.7,3.1,3.1,Organizer,3,0,3 - 6 LPA
Female,4.19,Marketing,17.8,3.5,5.0,4.8,Coordinator,1,1,3 - 6 LPA
Prefer not to say,8.92,HR,9.0,5.6,2.7,3.5,None,0,0,3 - 6 LPA
Prefer not to say,5.67,Operations,36.0,6.3,3.4,2.0,Coordinator,3,0,7 - 10 LPA
Female,5.44,Finance,6.7,14.8,4.6,3.5,Coordinator,1,0,3 - 6 LPA
Male,7.23,HR,19.0,1.5,3.8,3.6,Organizer,2,3,7 - 10 LPA
Male,6.47,International Business,2.7,1.4,3.5,3.2,Joint Coordinator,1,0,3 - 6 LPA
Male,6.73,Marketing,5.2,1.6,4.4,3.2,None,2,1,3 - 6 LPA
Female,6.08,Operations,27.1,8.5,2.3,2.7,Member,0,0,3 - 6 LPA
Male,7.5,Marketing,0.8,2.5,2.2,4.0,Organizer,3,1,3 - 6 LPA
Male,5.26,Marketing,11.0,15.3,1.9,3.5,Coordinator,3,2,3 - 6 LPA
Male,7.69,Finance,2.5,10.8,1.3,2.9,Joint Coordinator,2,1,3 - 6 LPA
Female,8.78,HR,9.2,2.4,2.7,2.7,Member,2,0,7 - 10 LPA
Prefer not to say,4.43,Marketing,20.4,7.5,3.1,2.3,Member,0,5,7 - 10 LPA
Female,7.42,Marketing,5.5,1.5,4.1,1.5,Coordinator,1,1,3 - 6 LPA
Male,7.53,Finance,38.5,8.3,3.9,4.8,None,1,1,7 - 10 LPA
Female,4.55,Finance,20.8,1.2,2.7,2.9,Coordinator,1,0,3 - 6 LPA
Female,7.94,Marketing,27.2,2.8,2.7,3.4,Coordinator,1,1,7 - 10 LPA
Female,7.68,Marketing,21.5,4.7,3.6,3.2,Joint Coordinator,1,2,7 - 10 LPA
Prefer not to say,6.26,Business Analytics,9.5,3.3,2.9,4.6,None,2,0,3 - 6 LPA
Female,7.26,Business Analytics,24.1,0.2,3.0,3.3,Coordinator,1,0,3 - 6 LPA
Prefer not to say,8.75,Business Analytics,46.7,3.2,5.0,2.8,Joint Coordinator,2,1,11 - 15 LPA
Male,8.9,Finance,26.1,1.6,2.8,1.0,Joint Coordinator,2,0,7 - 10 LPA
Female,4.33,Finance,0.0,0.6,3.5,1.0,Coordinator,1,0,3 - 6 LPA
Prefer not to say,7.67,Operations,40.6,1.3,2.1,2.7,Joint Coordinator,1,1,7 - 10 LPA
Female,5.8,Business Analytics,16.0,15.1,1.7,2.6,Organizer,2,1,3 - 6 LPA
Prefer not to say,6.7,Business Analytics,4.9,17.2,1.5,3.1,Coordinator,3,0,3 - 6 LPA
Female,8.8,Business Analytics,14.7,3.8,2.3,1.9,Coordinator,3,1,7 - 10 LPA
Male,5.07,International Business,13.2,6.6,3.6,3.4,None,1,2,3 - 6 LPA
Prefer not to say,8.0,Finance,11.9,1.4,3.7,3.6,Member,2,0,3 - 6 LPA
Prefer not to say,6.04,Marketing,5.6,18.4,3.6,4.1,None,1,1,3 - 6 LPA
Prefer not to say,4.64,HR,10.2,12.4,2.7,3.6,Organizer,0,3,3 - 6 LPA
Female,8.88,HR,23.1,13.2,3.5,3.1,None,1,2,11 - 15 LPA
Prefer not to say,7.68,HR,0.9,4.2,2.7,3.4,Organizer,3,1,3 - 6 LPA
Male,7.79,Marketing,24.2,3.6,3.1,4.3,Organizer,3,0,7 - 10 LPA
Male,5.02,Marketing,5.0,2.0,2.2,3.9,None,2,1,3 - 6 LPA
Female,6.67,Marketing,28.4,5.7,2.4,1.3,None,5,0,7 - 10 LPA
Female,8.94,Operations,3.3,0.4,2.6,1.5,Organizer,2,3,7 - 10 LPA
Prefer not to say,9.89,Finance,18.5,0.4,2.2,3.6,None,1,1,7 - 10 LPA
Male,9.45,Finance,43.5,0.0,2.6,3.0,Member,2,0,11 - 15 LPA
Female,6.3,Operations,42.3,7.1,2.7,3.9,None,0,1,7 - 10 LPA
Prefer not to say,9.69,Marketing,6.9,0.1,3.3,1.7,Member,2,3,11 - 15 LPA
Male,6.49,Operations,56.7,5.2,3.5,4.9,None,0,0,7 - 10 LPA
Female,5.21,HR,3.1,1.8,2.0,1.6,None,1,0,3 - 6 LPA
Male,8.04,Finance,11.6,3.5,4.1,3.4,Joint Coordinator,4,1,7 - 10 LPA
Female,7.36,International Business,59.7,4.4,2.8,3.7,Member,2,1,11 - 15 LPA
Prefer not to say,4.19,Marketing,25.8,1.9,2.3,3.9,Member,2,1,3 - 6 LPA
Female,7.36,Operations,36.9,6.7,4.0,2.7,Member,1,3,11 - 15 LPA
Prefer not to say,9.04,Finance,43.4,1.9,2.9,1.7,None,2,0,11 - 15 LPA
Female,9.81,Operations,17.8,3.1,2.5,1.9,Organizer,1,2,11 - 15 LPA
Female,4.33,Marketing,6.0,3.7,2.3,2.0,Coordinator,2,1,3 - 6 LPA
Male,9.45,Operations,52.4,1.1,3.1,1.5,Joint Coordinator,0,1,11 - 15 LPA
Prefer not to say,7.13,Business Analytics,6.0,4.7,2.6,3.1,Coordinator,0,1,3 - 6 LPA
Prefer not to say,4.13,Finance,2.8,5.0,2.1,3.6,None,1,1,3 - 6 LPA
Female,7.92,International Business,79.6,16.7,2.2,1.5,Joint Coordinator,0,0,11 - 15 LPA
Female,8.36,Marketing,43.3,5.7,4.0,3.8,Coordinator,1,0,7 - 10 LPA
Prefer not to say,6.1,International Business,4.1,0.4,2.8,2.9,None,1,1,3 - 6 LPA
Male,7.26,Operations,1.6,2.3,2.9,2.4,None,1,2,3 - 6 LPA
Male,6.32,HR,27.6,1.5,3.9,3.8,Member,1,1,7 - 10 LPA
Prefer not to say,4.28,Business Analytics,1.8,1.2,4.2,3.0,Member,5,0,3 - 6 LPA
Female,7.41,HR,12.3,11.4,3.0,3.2,Organizer,1,0,3 - 6 LPA
Male,7.05,International Business,12.2,10.5,3.9,3.0,None,2,2,7 - 10 LPA
Prefer not to say,5.14,Business Analytics,39.2,0.2,1.1,2.6,Member,3,3,11 - 15 LPA
Male,5.4,International Business,8.0,7.6,2.7,2.5,None,0,1,3 - 6 LPA
Prefer not to say,4.15,Operations,16.9,16.2,3.8,1.9,Member,3,0,3 - 6 LPA
Male,8.21,International Business,19.4,6.7,2.0,2.5,Member,3,0,7 - 10 LPA
Male,5.76,Business Analytics,3.6,1.9,2.7,2.3,Organizer,0,0,3 - 6 LPA
Prefer not to say,8.48,HR,5.9,6.6,3.6,4.6,Coordinator,1,3,7 - 10 LPA
Prefer not to say,5.96,Marketing,2.8,5.5,2.0,4.2,None,3,1,3 - 6 LPA
Prefer not to say,7.73,Business Analytics,4.0,4.9,1.4,2.3,None,1,0,3 - 6 LPA
Prefer not to say,7.3,Marketing,0.0,2.3,2.1,4.3,Joint Coordinator,0,1,3 - 6 LPA
Female,7.22,Operations,27.1,5.7,3.7,5.0,Joint Coordinator,4,0,7 - 10 LPA
Prefer not to say,7.82,Marketing,10.4,0.7,2.9,1.6,None,3,1,7 - 10 LPA
Male,7.95,HR,0.8,4.1,2.0,1.8,Member,2,2,7 - 10 LPA
Male,8.46,HR,29.1,2.2,1.4,1.8,None,1,0,7 - 10 LPA
Male,8.08,International Business,12.5,3.4,1.6,3.2,None,3,2,7 - 10 LPA
Male,8.35,International Business,0.5,35.7,2.6,3.7,Member,1,0,3 - 6 LPA
Prefer not to say,6.23,HR,5.7,5.8,3.3,2.7,Organizer,3,0,3 - 6 LPA
Female,7.72,Finance,9.2,5.0,4.3,3.7,Joint Coordinator,0,0,3 - 6 LPA
Male,8.4,HR,8.5,3.5,3.9,1.4,Joint Coordinator,1,0,3 - 6 LPA
Male,4.38,International Business,6.0,1.6,3.2,1.7,Coordinator,1,0,3 - 6 LPA
Female,9.93,Business Analytics,16.1,2.7,1.3,2.8,Member,3,1,11 - 15 LPA
Male,5.29,Business Analytics,0.6,0.9,2.9,3.8,Organizer,0,4,3 - 6 LPA
Female,9.02,HR,17.6,12.2,2.4,4.1,Member,2,0,7 - 10 LPA
Male,9.61,Business Analytics,5.2,4.4,3.5,2.9,Member,3,1,7 - 10 LPA
Prefer not to say,9.48,International Business,21.1,1.5,2.7,3.9,Member,2,3,11 - 15 LPA
Male,6.52,Finance,26.8,0.1,2.5,1.9,Organizer,4,0,7 - 10 LPA
Male,6.65,HR,2.5,5.4,2.2,1.8,Coordinator,1,0,3 - 6 LPA
Female,8.12,Marketing,8.4,12.0,2.2,3.2,Coordinator,4,2,7 - 10 LPA
Male,5.59,Business Analytics,8.8,7.5,3.7,2.8,Joint Coordinator,0,1,3 - 6 LPA
Male,5.36,Operations,16.0,1.1,3.1,3.8,None,3,3,7 - 10 LPA
Male,7.3,HR,9.4,15.8,2.1,2.1,Member,1,0,3 - 6 LPA
Prefer not to say,9.14,Business Analytics,12.3,11.9,2.5,3.8,Member,1,2,7 - 10 LPA
Female,5.82,International Business,9.3,1.7,4.2,2.5,Joint Coordinator,2,1,3 - 6 LPA
Female,9.33,Finance,3.7,6.8,4.4,5.0,Coordinator,1,0,3 - 6 LPA
Female,7.23,Finance,25.0,1.5,2.6,4.3,None,2,1,7 - 10 LPA
Female,6.14,International Business,13.8,4.9,1.6,1.1,Member,1,2,3 - 6 LPA
Prefer not to say,4.18,Operations,40.7,4.5,4.5,3.2,Joint Coordinator,3,0,3 - 6 LPA
Female,4.8,HR,3.4,8.7,2.6,1.5,Joint Coordinator,4,0,3 - 6 LPA
Male,4.31,Business Analytics,42.0,1.2,2.9,1.6,Member,1,0,3 - 6 LPA
Female,6.27,Finance,17.3,1.6,4.5,1.0,Coordinator,2,1,3 - 6 LPA
Male,4.66,Business Analytics,8.3,0.1,3.0,2.5,Coordinator,3,1,3 - 6 LPA
Prefer not to say,4.24,International Business,33.5,38.3,2.9,2.9,Member,1,3,7 - 10 LPA
Male,7.68,Marketing,17.5,4.3,5.0,2.6,Coordinator,4,1,7 - 10 LPA
Male,6.7,International Business,4.1,0.0,5.0,4.4,Joint Coordinator,3,0,3 - 6 LPA
Male,8.64,Business Analytics,4.3,5.6,2.7,4.9,None,2,2,7 - 10 LPA
Female,4.16,Business Analytics,1.4,2.0,3.1,3.4,Organizer,3,3,3 - 6 LPA
Prefer not to say,8.74,HR,3.0,5.1,3.0,4.5,Coordinator,0,1,3 - 6 LPA
Prefer not to say,7.79,Business Analytics,1.3,17.6,2.0,2.3,Joint Coordinator,0,3,7 - 10 LPA
Female,6.85,HR,1.7,4.9,2.6,4.3,Joint Coordinator,1,0,3 - 6 LPA
Male,5.14,HR,3.6,4.9,2.3,4.0,Organizer,0,1,3 - 6 LPA
Female,5.33,Finance,3.7,17.7,2.5,3.5,None,1,0,3 - 6 LPA
Prefer not to say,9.74,Marketing,23.3,7.7,2.6,3.3,Joint Coordinator,2,2,11 - 15 LPA
Prefer not to say,5.91,International Business,74.0,6.8,2.1,3.7,Coordinator,0,0,11 - 15 LPA
Prefer not to say,5.49,HR,4.0,1.3,1.2,3.8,None,2,0,3 - 6 LPA
Female,6.89,Operations,0.9,22.8,2.9,4.5,Joint Coordinator,0,2,3 - 6 LPA
Male,7.41,Business Analytics,25.2,8.8,3.3,3.2,None,4,1,7 - 10 LPA
Female,6.13,Operations,4.9,1.8,3.7,2.0,Member,0,2,3 - 6 LPA
Female,5.52,Operations,14.9,8.6,3.1,3.5,None,3,2,7 - 10 LPA
Female,4.76,HR,7.6,1.9,2.3,2.6,Coordinator,1,0,3 - 6 LPA
Prefer not to say,5.05,Marketing,13.3,1.8,2.9,1.3,Member,1,0,3 - 6 LPA
Prefer not to say,5.48,Operations,54.6,3.0,1.6,3.6,Member,1,0,7 - 10 LPA
Prefer not to say,6.81,Finance,7.6,0.9,4.6,1.6,Coordinator,4,1,7 - 10 LPA
Female,4.97,Finance,8.3,0.8,2.6,4.9,None,1,0,3 - 6 LPA
Male,7.5,Finance,63.0,0.6,3.7,2.6,None,0,2,11 - 15 LPA
Male,5.86,Marketing,5.3,2.2,3.3,3.6,Organizer,3,1,3 - 6 LPA
Prefer not to say,5.86,Business Analytics,15.5,12.8,2.3,2.8,Joint Coordinator,2,2,7 - 10 LPA
Prefer not to say,7.93,Finance,1.6,1.8,3.2,3.6,None,0,0,3 - 6 LPA
Female,8.1,HR,21.7,11.0,3.4,2.8,None,3,1,7 - 10 LPA
Male,5.53,Marketing,25.2,5.8,3.1,4.2,Organizer,2,1,3 - 6 LPA
Female,9.09,Operations,2.2,5.2,2.9,4.0,Organizer,5,0,7 - 10 LPA
Female,5.48,Operations,2.3,4.9,1.2,4.1,Organizer,1,2,3 - 6 LPA
Male,8.07,International Business,21.6,3.4,2.5,2.7,Member,1,1,7 - 10 LPA
Prefer not to say,6.56,Business Analytics,11.4,13.7,2.8,2.3,Coordinator,2,2,7 - 10 LPA
Male,8.62,Finance,19.2,19.9,1.6,3.1,Member,4,1,7 - 10 LPA
Prefer not to say,4.06,Marketing,3.4,0.7,2.5,3.7,None,2,0,3 - 6 LPA
Prefer not to say,5.7,Marketing,1.9,0.7,3.2,2.3,Member,1,1,3 - 6 LPA
Prefer not to say,9.49,HR,10.3,3.1,2.8,3.1,None,0,1,7 - 10 LPA
Female,8.74,Business Analytics,37.2,2.9,3.0,5.0,Member,5,0,11 - 15 LPA
Prefer not to say,9.67,Operations,0.3,20.2,3.3,2.7,Organizer,1,0,3 - 6 LPA
Male,7.51,HR,6.4,6.4,2.8,2.1,Organizer,3,1,7 - 10 LPA
Prefer not to say,6.45,Operations,11.1,0.9,2.3,3.2,Member,1,0,3 - 6 LPA
Female,5.15,Marketing,36.3,0.1,1.8,4.6,Organizer,2,2,7 - 10 LPA
Female,6.44,International Business,62.7,8.8,3.0,3.5,Joint Coordinator,4,1,11 - 15 LPA
Prefer not to say,7.27,Business Analytics,3.0,2.6,4.2,4.7,None,0,0,3 - 6 LPA
Female,7.38,Marketing,3.1,9.7,2.8,1.7,Organizer,2,2,7 - 10 LPA
Female,6.52,HR,52.1,7.1,3.5,4.7,Joint Coordinator,5,0,11 - 15 LPA
Female,8.7,International Business,5.3,5.0,3.7,2.4,Member,0,2,7 - 10 LPA
Male,7.25,Finance,5.0,2.3,2.5,2.8,Organizer,1,1,3 - 6 LPA
Prefer not to say,7.88,Business Analytics,6.6,6.7,3.9,4.1,Member,0,1,3 - 6 LPA
Female,4.17,HR,8.0,3.4,4.9,2.7,Member,1,0,3 - 6 LPA
Prefer not to say,8.12,International Business,12.6,2.6,3.3,4.8,Coordinator,3,0,7 - 10 LPA
Female,4.84,Finance,2.6,6.1,2.8,4.0,None,1,4,3 - 6 LPA
Female,4.64,International Business,1.5,7.5,3.0,2.2,Organizer,2,0,3 - 6 LPA
Prefer not to say,6.11,HR,22.3,0.2,4.0,3.5,None,4,0,3 - 6 LPA
Prefer not to say,4.57,Finance,5.7,12.5,3.8,1.0,Coordinator,3,1,3 - 6 LPA
Prefer not to say,4.37,Operations,10.1,10.1,3.5,2.4,Organizer,4,3,7 - 10 LPA
Prefer not to say,9.19,Operations,39.1,0.1,3.6,2.6,Coordinator,1,0,11 - 15 LPA
Male,4.94,Finance,4.3,4.0,3.9,1.0,None,3,0,3 - 6 LPA
Male,4.59,Marketing,1.6,7.3,3.2,2.9,Organizer,4,0,3 - 6 LPA
Female,8.84,International Business,32.9,11.4,4.5,2.6,Joint Coordinator,0,0,7 - 10 LPA
Female,8.52,Business Analytics,8.3,32.5,4.3,2.9,Member,4,0,7 - 10 LPA
Prefer not to say,6.59,Marketing,26.4,3.8,3.5,3.8,Member,2,1,7 - 10 LPA
Male,7.0,HR,8.2,1.1,1.9,2.5,Organizer,1,2,7 - 10 LPA
Female,9.36,Finance,15.2,7.0,2.4,5.0,None,1,2,7 - 10 LPA
Female,8.61,Operations,0.2,1.5,3.7,3.6,Member,0,1,3 - 6 LPA
Female,4.93,Finance,15.7,0.5,2.9,1.7,None,1,0,3 - 6 LPA
